frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,17036595.605013784,1083420
4,16661810.525236866,1015055
8,17028072.710793696,1026211
16,17760464.68133472,1053676
32,16803674.598005254,1001625
64,17041321.609153148,1052589
128,16696649.2289943,1040810
256,17987081.19854575,1009272
512,17936487.744898107,1101164
1024,17600794.82586434,1027042
2048,18469752.870413046,1018950
4096,17895767.218910594,1008608
8192,20076639.77877548,1079731
16384,20906268.313091435,1025448
32768,21764349.639079135,1164796
65536,25465567.81003954,1329171
