frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,16907584.77466001,1059215
4,16775616.783232652,1229407
8,17278742.519350562,1027693
16,16676375.875502387,1024675
32,17481899.802593596,1101846
64,17650549.24583187,1089926
128,17061439.02485473,994398
256,17474536.97735325,1116876
512,17997715.590542983,1188126
1024,18082275.379447576,1061874
2048,16157653.856331494,1139246
4096,19478090.481363695,1023743
8192,20246020.577398166,1077968
16384,18385521.685031977,1160570
32768,22815157.425613306,1046591
65536,17623469.714242768,911004
