frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,16533342.06830803,1044412
4,16640397.738351207,1045286
8,16893421.436489087,1071328
16,17377591.774787497,1048778
32,17045588.209751725,1129592
64,17162560.16416554,962991
128,17128187.541749302,969089
256,18144348.05852985,1106829
512,17242360.502661057,1013750
1024,18476007.40472313,1025691
2048,19137297.542956162,1211883
4096,20422962.81251479,1003733
8192,21581370.131616898,1225843
16384,11602656.466449223,870769
32768,21594599.589446895,1133501
65536,9389633.780859081,728771
