frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,15609075.882847646,1015968
4,17234244.57197428,1072738
8,17582430.500245806,988552
16,17068738.115850892,1150603
32,16822819.002267662,1093636
64,16924254.605299696,1007767
128,17673841.31082086,1062366
256,18574257.811665826,1049595
512,18954656.24254803,1100644
1024,17975495.559442803,1054093
2048,19017231.583822183,1153329
4096,20429695.46365366,1202140
8192,14893327.504334215,944484
16384,12664223.773861784,863413
32768,13396636.212849852,1142018
65536,33644277.19232632,950882
