frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,16450900.229473948,1113146
4,15997024.054821916,1072207
8,17583399.098362383,1096991
16,18190585.798781358,1027382
32,17586580.753532365,1078999
64,17501976.966450963,1043982
128,18179676.317757916,1009940
256,18422221.258250672,1105215
512,17731022.368660245,1059751
1024,20096932.372016903,1094131
2048,20970941.526590146,1023296
4096,16753791.025739726,987594
8192,14655814.135766393,1025381
16384,20164012.77800748,1106111
32768,16029375.429319354,1040037
65536,9625207.847003097,580494
