frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,16248077.125629913,1081912
4,16594628.51688847,1004862
8,16856685.61835594,950553
16,16794536.71066127,1049773
32,17743519.880170055,1042767
64,17364802.979483757,1055982
128,17633748.249827232,1008412
256,17794294.02673107,1046537
512,18626180.50484347,998526
1024,18842538.040921584,1049909
2048,19426938.723311633,1068619
4096,16344967.287417036,1007571
8192,21080718.035199914,1075043
16384,17699513.72465882,1001014
32768,20721510.781279463,1188504
65536,5320110.922112245,666212
