frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,208022.669471,7539.000000,2002.161332
4,501285.331908,16937.000000,15062.753533
8,1328300.615309,40921.000000,42622.820050
16,1008672.742039,34319.000000,17454.077317
32,1580001.119681,50847.000000,21772.535084
64,1194321.952347,45933.000000,69242.515942
128,2684865.741134,89942.000000,174602.523458
256,1628270.244905,55844.000000,136169.011662
512,957457.177897,33449.000000,135372.703907
1024,1951266.954674,64828.000000,285170.718548
2048,2128532.245348,74929.000000,262904.253767
4096,3361918.155716,129455.000000,797595.187361
8192,3545190.980972,107203.000000,2026364.248752
16384,2109760.150148,69209.000000,704118.762520
32768,1767693.095771,57221.000000,1121646.921523
65536,9189348.581018,208641.000000,6994503.652791
