frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,725095.817064,31628.000000,6679.643479
4,1016661.009161,36971.000000,20615.392380
8,1178712.418943,48347.000000,28294.816327
16,1093179.584002,33254.000000,39572.799762
32,1356680.365102,45900.000000,25497.134172
64,1412494.793651,42268.000000,68400.255029
128,1742560.371237,56438.000000,89443.215562
256,2128695.758779,71760.000000,59672.758433
512,1849439.885292,60626.000000,205302.999496
1024,2615836.516391,80625.000000,560644.965952
2048,1302668.471189,53422.000000,487690.225732
4096,1239734.930094,40536.000000,141447.072416
8192,3185325.913630,103404.000000,387460.091520
16384,1928752.369196,59360.000000,1042580.858755
32768,3052634.769145,102007.000000,1978192.951292
65536,4283989.896891,110673.000000,1995911.984611
