frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,1211409.139462,43496.000000,3026.260729
4,348697.356166,13251.000000,8744.347546
8,893113.859785,32794.000000,2568.806532
16,684084.778541,26037.000000,23209.248221
32,2186580.771050,67563.000000,82759.696447
64,1665153.859134,57218.000000,121924.949092
128,1748715.780256,63261.000000,18386.313578
256,1753919.819523,69856.000000,273051.055422
512,1770920.163256,65014.000000,216235.614532
1024,2563546.503267,95845.000000,103890.337765
2048,1870949.766712,75244.000000,92645.947067
4096,2063719.345698,61016.000000,395610.043741
8192,3463179.177962,117487.000000,1498790.887032
16384,2715573.370038,80602.000000,686441.531920
32768,1758656.147214,65449.000000,314859.750813
65536,5904764.677569,188832.000000,3678228.711476
