frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,820349.140846,27004.000000,33465.831067
4,1074320.055230,35782.000000,38735.156628
8,1016617.170998,37672.000000,17134.560280
16,750900.640877,27241.000000,22614.940283
32,923124.117919,39594.000000,6766.231078
64,2139791.933675,84436.000000,157018.369263
128,2137241.511439,87263.000000,127401.323981
256,2266049.376255,79891.000000,272219.177104
512,2632759.034649,107820.000000,139857.166709
1024,1811003.559485,69756.000000,57915.008012
2048,1105191.644071,42520.000000,41349.363877
4096,2396818.862330,75668.000000,336785.298687
8192,1683818.993177,54913.000000,312415.643486
16384,3399506.153017,119088.000000,392640.316705
32768,5244400.074076,165198.000000,1844180.471299
65536,3752530.774995,121633.000000,2457287.812793
