frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,1103196.433328,32028.000000,19340.011634
4,966262.903627,36266.000000,24885.738225
8,1047712.237101,38412.000000,28830.130194
16,1143396.482621,37367.000000,5430.548959
32,1696844.032785,56861.000000,61667.005497
64,2672465.994298,89038.000000,121775.225095
128,2026959.633353,74998.000000,151076.193475
256,2073269.981813,69263.000000,275517.635118
512,2874743.245841,87273.000000,23848.900708
1024,981978.447289,44819.000000,207841.126580
2048,1144361.963091,43657.000000,228503.523338
4096,2799216.407545,75377.000000,942190.462056
8192,2486109.030084,72104.000000,967869.640224
16384,1730429.698944,56417.000000,401622.606753
32768,5887189.167513,166999.000000,2987364.576071
65536,862445.657966,27250.000000,439961.439314
