frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,721801.050180,24456.000000,1279.091865
4,376632.282821,15242.000000,16221.374479
8,1103622.753659,36091.000000,19966.381019
16,1430630.698987,49302.000000,62060.411713
32,1452895.510881,50482.000000,23707.084447
64,1589187.395334,53657.000000,97339.828020
128,2171449.730113,74181.000000,143294.046788
256,1883655.571986,64905.000000,295125.883389
512,2572061.763121,97013.000000,26565.364481
1024,2352559.546061,79280.000000,325929.036591
2048,2435475.338630,76098.000000,433523.738198
4096,955631.786080,36115.000000,208952.233668
8192,2554295.147745,99627.000000,283028.353560
16384,4396756.430736,143212.000000,280270.679760
32768,1154662.755187,50313.000000,859362.243637
65536,2766872.141775,99707.000000,2448685.567251
