frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,916672.157960,26942.000000,26629.030456
4,1271982.455039,47313.000000,2065.600155
8,681112.938157,30896.000000,12813.888091
16,1141419.248548,37927.000000,24242.423971
32,988364.377027,39879.000000,33984.330786
64,1379661.617733,48767.000000,59397.769697
128,1284062.616967,48021.000000,87642.049172
256,1834862.265991,74969.000000,41521.592094
512,2868140.774462,81335.000000,272047.013433
1024,2565738.598908,88652.000000,414124.166483
2048,1734647.224323,64604.000000,413519.710436
4096,1866532.601166,59068.000000,176114.775326
8192,2963892.093803,93369.000000,1288772.162223
16384,1783200.505368,49841.000000,1097242.162531
32768,2918720.863098,89594.000000,1513638.698615
65536,6224787.017871,161452.000000,4180939.971851
