frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,975483.775517,38600.000000,1773.346554
4,845137.678622,32669.000000,7751.874676
8,1231189.516481,45291.000000,37167.443361
16,1761528.825874,62828.000000,627.669499
32,1221129.557822,46715.000000,47911.755301
64,1785804.471698,54416.000000,90654.724858
128,1597141.891408,62039.000000,56927.495782
256,2118140.135827,67581.000000,61340.120174
512,1986370.169341,75771.000000,126606.803233
1024,1896489.294472,65047.000000,260799.226709
2048,2958865.113977,87791.000000,129972.044944
4096,1614742.733410,55306.000000,491620.421130
8192,3261190.037815,95029.000000,1585989.125405
16384,2117456.953419,70394.000000,571985.047739
32768,2962590.844560,84115.000000,1697426.282048
65536,3364427.543115,117004.000000,3193056.802030
