frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,119801979.785383,2277416.000000
4,117846446.660074,2231683.000000
8,117188169.124240,2248808.000000
16,118889127.405471,2211635.000000
32,118526449.868519,2174775.000000
64,118106938.673938,2211987.000000
128,122298712.077596,2250275.000000
256,122080370.858499,2371810.000000
512,126724994.103718,2224898.000000
1024,124340236.934575,2265097.000000
2048,130551025.228203,2417589.000000
4096,119559129.954172,2408603.000000
8192,105010056.416813,2075773.000000
16384,117188106.031892,2445595.000000
32768,95834326.181776,1964260.000000
65536,68841349.565839,1908574.000000
