frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,118754611.433079,2324328.000000
4,116313938.895049,2347812.000000
8,118843114.264994,2257569.000000
16,121197923.725263,2289700.000000
32,115316769.450512,2171903.000000
64,120773615.211265,2270761.000000
128,118909812.883941,2161990.000000
256,124063616.600997,2261262.000000
512,119332431.377611,2284601.000000
1024,116778047.198159,2248606.000000
2048,119439850.117585,2112743.000000
4096,124626555.742960,2242336.000000
8192,92506849.066873,2284788.000000
16384,123337437.598917,2265363.000000
32768,158808685.502641,2657158.000000
65536,77486158.262945,2223830.000000
