frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,118111693.128548,2316554.000000
4,115001393.971038,2596924.000000
8,119477170.053675,2304944.000000
16,119338573.288938,2241426.000000
32,122780029.731957,2388946.000000
64,120650979.616276,2281442.000000
128,121087960.511269,2235781.000000
256,118858440.994569,2208065.000000
512,120243011.943079,2305575.000000
1024,123006382.203628,2194558.000000
2048,127217163.206679,2335932.000000
4096,110228233.842457,2124191.000000
8192,134832318.026565,2290318.000000
16384,102418111.271912,2164980.000000
32768,111022397.972653,2056862.000000
65536,139219788.166126,2273435.000000
