frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,117430752.008368,2165120.000000
4,119480547.491392,2201703.000000
8,121532011.151249,2232316.000000
16,118355745.287283,2252435.000000
32,115913499.189513,2206549.000000
64,121311816.453869,2316381.000000
128,120573442.808768,2223454.000000
256,121751765.890000,2284134.000000
512,117292757.486738,2186182.000000
1024,122167266.610976,2221045.000000
2048,115828133.204554,2109834.000000
4096,125148657.344374,2142060.000000
8192,101833350.051992,2042373.000000
16384,135374837.761917,2160542.000000
32768,122210208.958847,2175667.000000
65536,151154694.711875,2302576.000000
