frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,668321.544663,197249.000000,1932.110504
4,847862.759561,197676.000000,1387.091562
8,1536478.154218,277961.000000,54.424259
16,1749216.609151,289422.000000,10754.698043
32,1220859.815007,258699.000000,612.814817
64,3195471.775549,305347.000000,18714.341800
128,3080703.258930,299539.000000,20292.362948
256,2607597.371370,294708.000000,145020.840854
512,2602959.794098,296700.000000,257108.136046
1024,2546029.217390,300434.000000,379324.069914
2048,3162441.163973,298258.000000,442967.472196
4096,1984058.506176,208536.000000,431654.649292
8192,1885603.246750,271311.000000,692201.807959
16384,1244493.853152,104725.000000,1025979.453004
32768,1122026.602911,119282.000000,920506.525282
65536,3792133.024906,301772.000000,2802152.641404
