frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1282325.064414,294957.000000,222.375808
4,1279798.486340,276277.000000,753.041832
8,1003544.103422,297498.000000,448.152876
16,3344078.899329,299847.000000,170459.586430
32,2255991.085113,300194.000000,941.557752
64,2811677.557593,291934.000000,594.026094
128,3395330.301931,299085.000000,1969.535224
256,2482727.592436,283488.000000,125453.484619
512,2047022.699169,270445.000000,111158.040361
1024,2607755.099648,281320.000000,333485.307326
2048,2588777.938478,292879.000000,200854.898170
4096,3688453.416859,301573.000000,667552.836206
8192,3035071.251734,298327.000000,376396.764817
16384,5381914.098074,288115.000000,2803917.918833
32768,1012910.545847,89730.000000,557267.523225
65536,2392674.919654,205372.000000,2067783.122068
