frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,2474735.458892,297880.000000,162387.035385
4,2022807.706328,300136.000000,145387.034164
8,1386763.869390,240112.000000,264.155257
16,1684505.700388,283339.000000,56.920998
32,1449407.154492,277586.000000,464.423298
64,2892680.076301,296572.000000,8263.920559
128,2821490.529462,282309.000000,249618.340821
256,2623107.970487,303153.000000,251362.549844
512,2666357.670822,293514.000000,340803.128885
1024,2988905.342277,301519.000000,171880.866536
2048,2535682.196941,297559.000000,436208.792682
4096,3181679.969162,289046.000000,890916.864446
8192,3603399.550721,303122.000000,1043351.110439
16384,4147902.317546,278111.000000,1131707.259268
32768,4725550.956714,244231.000000,4066823.377132
65536,871666.990062,74251.000000,868629.926792
