frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,2110765.678328,273158.000000,16.000000
4,1651423.868361,287020.000000,358.189894
8,2243921.321433,271790.000000,208.189817
16,1634117.868979,266091.000000,139565.275993
32,2698194.876588,282678.000000,261.084278
64,2607331.535285,301307.000000,224696.351568
128,2912978.437732,301608.000000,64278.521747
256,2621106.608266,283373.000000,346398.462771
512,2549846.798262,299459.000000,22836.690785
1024,2919357.175445,296814.000000,684410.737384
2048,2614332.017325,292748.000000,542961.161226
4096,3439348.448459,282976.000000,571103.337947
8192,1117866.890022,162954.000000,324069.499403
16384,986161.204658,219592.000000,626566.671171
32768,1292479.009688,132815.000000,0.000000
65536,309052.655465,67327.000000,0.000000
