frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1979490.900357,297459.000000,80.901174
4,1969276.306518,283451.000000,126.451572
8,1918349.680891,301885.000000,583.053171
16,1699914.575538,239459.000000,242.361301
32,2598805.381827,304941.000000,186.539540
64,2371012.616872,288394.000000,274406.266716
128,2140056.275971,298030.000000,180907.957539
256,3279397.815519,296028.000000,198815.920698
512,1929388.958787,249805.000000,33814.819872
1024,3350699.425929,300151.000000,625096.773483
2048,2882765.780084,291243.000000,419986.902664
4096,2770974.328657,275891.000000,1217609.878934
8192,1739988.003641,282786.000000,687614.995835
16384,1019464.998678,139663.000000,517591.498571
32768,2541767.697785,236429.000000,1182192.156208
65536,2575073.621741,197846.000000,2406579.973264
