frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1459434.821101,270674.000000,184639.079753
4,1940815.321959,281066.000000,76.922038
8,2042080.709295,299029.000000,933.562531
16,2013005.372366,302930.000000,143.937486
32,1398564.888600,246978.000000,3221.399385
64,1802584.125268,273995.000000,50768.025833
128,3313662.453994,296893.000000,185402.341913
256,2038032.463683,260163.000000,8550.809377
512,3870232.940357,302391.000000,1146958.679169
1024,3841547.196885,302575.000000,381607.539290
2048,2548219.903480,292784.000000,480056.111572
4096,3679314.582386,293505.000000,1642113.321625
8192,3976263.164670,284051.000000,2308863.950020
16384,1086694.825978,132672.000000,583973.715061
32768,2859903.599203,269374.000000,1799509.917279
65536,231527.836253,52104.000000,0.000000
