frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1873380.695143,300241.000000,3874.009680
4,1729488.829310,273573.000000,109.745159
8,1353225.167127,266389.000000,239.482776
16,2451105.214953,293996.000000,249.156577
32,2645620.312891,286223.000000,21559.731306
64,1714241.783232,269520.000000,7419.207909
128,2306219.320658,277143.000000,16015.735231
256,3532192.736744,298795.000000,110316.271656
512,3000175.822747,302432.000000,264265.989318
1024,3108477.057931,296410.000000,296180.131271
2048,3117394.666289,259453.000000,653361.686587
4096,3168492.889131,276986.000000,998254.025318
8192,3351800.248810,284886.000000,1149160.334300
16384,824847.684571,161898.000000,213502.465452
32768,1949553.651765,185239.000000,1686468.794680
65536,2381753.191289,202827.000000,2070881.376089
