frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1857339.952767,271781.000000,90.625603
4,1778989.017649,288090.000000,85.644615
8,1064699.432935,210704.000000,102.283919
16,2180500.911675,292179.000000,192.268042
32,685363.105806,132341.000000,39772.766399
64,3156408.288028,300543.000000,699.175228
128,2676405.481767,301241.000000,8199.763289
256,2823905.483545,300859.000000,381183.853955
512,3084435.066157,300722.000000,167152.239315
1024,3158860.468172,292006.000000,883614.010846
2048,3009916.436570,279987.000000,785383.545793
4096,3624720.400573,288783.000000,1533737.957258
8192,3178837.917536,303651.000000,1489554.554574
16384,3071801.060991,297634.000000,687714.047392
32768,4999076.051584,300737.000000,4721288.496705
65536,3858671.239444,199376.000000,3494223.498707
