frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,376798.489539,82369.000000,3007.990027
4,1521752.469339,296950.000000,11729.364049
8,1014607.209922,273597.000000,661.230671
16,1279645.738593,297104.000000,118.110118
32,1606185.997673,270180.000000,987.570757
64,3082633.189016,296406.000000,403846.873945
128,2949642.412104,299067.000000,72216.646578
256,1454282.151123,298071.000000,29449.915552
512,2722709.298682,303668.000000,499428.273568
1024,730377.459778,101539.000000,179804.634623
2048,2492624.463448,261242.000000,1204213.138532
4096,3581185.898065,292301.000000,1024352.294566
8192,3529433.194872,293275.000000,153012.859705
16384,2904428.281232,269312.000000,2522425.182776
32768,1236327.598852,131764.000000,887047.693620
65536,5934777.677256,242513.000000,5755044.067051
