arrival_rate,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time
26.0,4.073,262144,785949.4799750173
26.0,4.639,32768,852206.6006010515
26.0,5.649,4096,2091814.9417173595
26.0,7.918,512,4544325.710692181
26.0,16.772,64,6813431.901787014
