arrival_rate,bp_parameter_L,bp_parameter_H
34.0,4.073,262144,260706.53839710273
34.0,4.639,32768,277353.4567298558
34.0,5.649,4096,58673.19729655101
34.0,7.918,512,66709.01588990801
34.0,16.772,64,53594.52273320474
