arrival_rate,bp_parameter_L,bp_parameter_H
32.0,4.073,262144,479430.84756511025
32.0,4.639,32768,78445.61992233856
32.0,5.649,4096,98659.96251266265
32.0,7.918,512,87701.81220476575
32.0,16.772,64,70807.12825697707
