arrival_rate,bp_parameter_L,bp_parameter_H
24.0,4.073,262144,169558.27821135716
24.0,4.639,32768,490363.04947457043
24.0,5.649,4096,953641.1433348501
24.0,7.918,512,2195504.372262556
24.0,16.772,64,3486103.0969163836
