arrival_rate,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time
20.0,4.073,262144,1471198.1908312014
20.0,4.639,32768,3618584.596785323
20.0,5.649,4096,4966274.613633744
20.0,7.918,512,9891314.519501036
20.0,16.772,64,16551040.204550529
