arrival_rate,bp_parameter_L,bp_parameter_H
26.0,4.073,262144,153306.96762378415
26.0,4.639,32768,268584.8302026754
26.0,5.649,4096,803378.3421309041
26.0,7.918,512,1685068.207985659
26.0,16.772,64,2297401.969900348
