arrival_rate,bp_parameter_L,bp_parameter_H
26.0,4.073,262144,331102.90552938374
26.0,4.639,32768,709744.3612519933
26.0,5.649,4096,731889.8497772735
26.0,7.918,512,1483781.3100996385
26.0,16.772,64,2536223.2042765873
