arrival_rate,bp_parameter_L,bp_parameter_H
32.0,4.073,262144,393555.4416508556
32.0,4.639,32768,89677.50087954057
32.0,5.649,4096,190038.12009962634
32.0,7.918,512,109663.33496205557
32.0,16.772,64,86919.15435046524
