arrival_rate,bp_parameter_L,bp_parameter_H
22.0,4.073,262144,512166.8585851685
22.0,4.639,32768,831505.6644094494
22.0,5.649,4096,1428754.0121812432
22.0,7.918,512,2306707.141564572
22.0,16.772,64,4863169.340688025
