arrival_rate,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time
20.0,4.073,262144,2089712.1523760157
20.0,4.639,32768,2970594.5416289987
20.0,5.649,4096,4751695.089385682
20.0,7.918,512,9744072.05849854
20.0,16.772,64,16582064.854885563
