arrival_rate,bp_parameter_L,bp_parameter_H
22.0,4.073,262144,220027.4335645444
22.0,4.639,32768,833609.1777193914
22.0,5.649,4096,1516742.8097459371
22.0,7.918,512,2572148.596912511
22.0,16.772,64,4747151.737897263
