arrival_rate,bp_parameter_L,bp_parameter_H
34.0,4.073,262144,132725.8125083437
34.0,4.639,32768,106707.07232419039
34.0,5.649,4096,81711.65244321033
34.0,7.918,512,28458.87322084274
34.0,16.772,64,41100.682585572715
