arrival_rate,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time
28.0,4.073,262144,462158.83452120656
28.0,4.639,32768,648108.0484595142
28.0,5.649,4096,1433221.97047666
28.0,7.918,512,2530069.6277227234
28.0,16.772,64,3984744.773509842
