arrival_rate,bp_parameter_L,bp_parameter_H
22.0,4.073,262144,565825.6557323996
22.0,4.639,32768,800091.4516291247
22.0,5.649,4096,1448686.2728503367
22.0,7.918,512,2909682.7396358866
22.0,16.772,64,4545454.923410857
