arrival_rate,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time
22.0,4.073,262144,713590.9431740288
22.0,4.639,32768,1924836.015592757
22.0,5.649,4096,3566521.8959039073
22.0,7.918,512,7903703.898901578
22.0,16.772,64,13227919.363937173
