arrival_rate,bp_parameter_L,bp_parameter_H
20.0,4.073,262144,547934.3893606241
20.0,4.639,32768,1013088.3627828325
20.0,5.649,4096,1690946.4974226712
20.0,7.918,512,3021172.0585248037
20.0,16.772,64,5752517.204010172
