arrival_rate,bp_parameter_L,bp_parameter_H
24.0,4.073,262144,223807.4179467696
24.0,4.639,32768,539677.369486622
24.0,5.649,4096,1102549.1052347736
24.0,7.918,512,1740993.6143303341
24.0,16.772,64,3546456.8823513137
