arrival_rate,bp_parameter_L,bp_parameter_H
40.0,4.073,262144,54179.33392909145
40.0,4.639,32768,65585.71743146521
40.0,5.649,4096,52287.77229907581
40.0,7.918,512,19226.463351329076
40.0,16.772,64,14147.122463596617
