arrival_rate,bp_parameter_L,bp_parameter_H
22.0,4.073,262144,438068.7277562734
22.0,4.639,32768,918829.2994071314
22.0,5.649,4096,1088452.3091031595
22.0,7.918,512,2861798.4478734694
22.0,16.772,64,4438060.614397126
