arrival_rate,bp_parameter_L,bp_parameter_H
30.0,4.073,262144,600536.8831878689
30.0,4.639,32768,76398.77660669705
30.0,5.649,4096,265965.51412354194
30.0,7.918,512,637064.7641354841
30.0,16.772,64,841014.4805215901
