arrival_rate,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time
26.0,4.073,262144,427300.7608780963
26.0,4.639,32768,1053779.5470623826
26.0,5.649,4096,2773003.1950587435
26.0,7.918,512,4738030.4623168055
26.0,16.772,64,7055629.526800213
