arrival_rate,Rdynamic/RR_ratio,Rdynamic/SRPT_ratio,Dynamic/SRPT_ratio,Rdynamic/SETF_ratio,Rdynamic/FCFS_ratio,Rdynamic/RMLF_ratio,Rdynamic/Dynamic_ratio,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm
20,0.6021641853124382,1.6599887993214346,1.0785459515528952,0.8235248708869392,0.8737093696913198,1.0268872182910145,1.5390988181183891,,,,,
22,0.791872171587832,1.7046885817894863,1.0799486426593774,1.0404010916980622,1.1661204247392465,1.0468851298863615,1.5784904156105837,,,,,
24,0.6091614891558582,1.3422022761778574,0.9379705752200064,0.7169798631768743,1.135696222824766,0.7980192825382723,1.4309641598970588,,,,,
26,0.2368310765960244,1.2875867450337546,0.9479798323174085,0.5736286096387813,0.6897401107019083,0.8094051448861238,1.3582427612264192,,,,,
28,0.3342052600060599,1.809692600984801,1.04599424677031,1.2769146307986734,1.103567865983846,1.31153215487572,1.7301171651493712,,,,,
30,0.6454618140700518,2.390802313559918,1.963957431845005,1.1360376882261698,1.0874650776663222,1.641479414711747,1.2173391718138824,,,,,
32,0.3811110082455191,1.0147351252077137,0.9267209605093204,0.6321338096965315,1.1429884565138364,0.6588721102591316,1.094973749865355,,,,,
34,0.2169325168953518,1.2829262601679323,0.8971256461913969,0.7306001420174513,1.10298063274958,0.8804742321382879,1.4300407814829394,,,,,
36,0.2938408526876763,1.562878637110878,1.0029625612463715,1.0374396990435186,0.5182417364571293,1.0870971279912915,1.5582621899352898,,,,,
38,0.415764420053908,1.0516940478920649,0.968670467635961,0.6146195187974209,1.095365633322218,0.6705615959791293,1.0857087967786636,,,,,
40,0.17201067896171107,1.5743401875171017,0.9746556049511018,0.829705163234422,1.131739465478782,0.8217162076754649,1.615278442477213,,,,,
