arrival_rate,Rdynamic/RR_ratio,Rdynamic/SRPT_ratio,Dynamic/SRPT_ratio,Rdynamic/SETF_ratio,Rdynamic/FCFS_ratio,Rdynamic/RMLF_ratio,Rdynamic/Dynamic_ratio,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm
20,0.6131940537835786,1.69039488883435,1.0,0.8386094129938113,0.8897131435203762,1.045696757663683,1.69039488883435,,,,,
22,0.764518253067658,1.6458029254403812,1.0,1.0044621514098286,1.1258387173784896,1.010722209189865,1.6458029254403812,,,,,
24,0.569631667554391,1.2551038343444492,1.0,0.6704534714272892,1.0619984105353937,0.7462340655886868,1.2551038343444494,,,,,
26,0.2350605775918668,1.2779610190411417,1.0,0.5693402835596233,0.684583759615398,0.8033542033307408,1.2779610190411417,,,,,
28,0.3249302844094012,1.7594694096703272,1.0,1.2414772710172643,1.0729412833080638,1.275134078045676,1.7594694096703272,,,,,
30,0.6067109919692332,2.247268562822913,1.0,1.067834746709478,1.0221782321134,1.5429318703100776,2.247268562822913,,,,,
32,0.3626187300021337,0.9654981210994804,1.0,0.6014613965595466,1.0875283409319354,0.6269023006075848,0.9654981210994804,,,,,
34,0.2315591468323787,1.3694272970457853,1.0,0.7798607049895926,1.1773488730384178,0.939840024537162,1.3694272970457853,,,,,
36,0.2772960963202268,1.4748805046307258,1.0,0.9790264902959962,0.4890620523162018,1.0258879497376228,1.4748805046307258,,,,,
38,0.4084815486641607,1.033271710330886,1.0000000000000002,0.6038533380154059,1.076178308367378,0.6588154877821207,1.0332717103308855,,,,,
40,0.15249057478834968,1.3956810214110031,1.0,0.7355486183194583,1.0033074844145848,0.7284662648720011,1.3956810214110031,,,,,
