frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,201517.773653,80598.000000,0.000000
4,582046.572400,240714.000000,0.000000
8,253284.117641,210838.000000,0.000000
16,372568.245060,225570.000000,0.000000
32,215140.382248,109259.000000,0.000000
64,592830.015978,256584.000000,0.000000
128,239250.341488,140271.000000,0.000000
256,412987.181261,119531.000000,0.000000
512,579086.823590,256117.000000,0.000000
1024,628018.440242,225140.000000,0.000000
2048,278042.194102,89672.000000,0.000000
4096,71571.183880,18355.000000,0.000000
8192,464651.558928,192818.000000,0.000000
16384,512981.145753,230305.000000,0.000000
32768,153120.676579,48590.000000,0.000000
65536,643657.813834,159738.000000,0.000000
