frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,728572.894267,266938.000000,0.000000
4,723185.224747,213109.000000,0.000000
8,127693.169657,32509.000000,0.000000
16,867308.379160,280815.000000,0.000000
32,622393.095336,279205.000000,0.000000
64,782424.833413,205792.000000,0.000000
128,990817.855840,271105.000000,0.000000
256,544310.354567,164938.000000,0.000000
512,822504.146529,176966.000000,0.000000
1024,1170679.161000,258648.000000,0.000000
2048,766409.352984,155888.000000,0.000000
4096,1712271.697638,277933.000000,0.000000
8192,936211.352302,191590.000000,0.000000
16384,337667.560011,114802.000000,0.000000
32768,1289442.095328,189524.000000,0.000000
65536,5229671.934378,165078.000000,0.000000
