frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,274641.837985,175859.000000,0.000000
4,529778.209243,283629.000000,0.000000
8,123701.999095,61753.000000,0.000000
16,271206.534774,104011.000000,0.000000
32,457968.839930,217735.000000,0.000000
64,470361.072844,137065.000000,0.000000
128,284710.502906,107090.000000,0.000000
256,202817.568292,57305.000000,0.000000
512,927718.601227,299868.000000,0.000000
1024,378193.158201,207845.000000,0.000000
2048,746181.631409,305460.000000,0.000000
4096,798915.556114,236081.000000,0.000000
8192,892528.216945,267410.000000,0.000000
16384,1312262.593905,224367.000000,0.000000
32768,917091.542988,248611.000000,0.000000
65536,427760.950953,159112.000000,0.000000
