frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,285835.117424,80028.000000,0.000000
4,915731.952314,268740.000000,0.000000
8,526020.657600,232173.000000,0.000000
16,398387.224112,165986.000000,0.000000
32,656168.020095,215157.000000,0.000000
64,392774.080360,101778.000000,0.000000
128,823195.673411,288045.000000,0.000000
256,893066.432377,300381.000000,0.000000
512,581078.459819,180531.000000,0.000000
1024,690312.435480,236698.000000,0.000000
2048,1333933.724062,215668.000000,0.000000
4096,461880.403513,123573.000000,0.000000
8192,1122423.762256,253569.000000,0.000000
16384,504281.939083,63885.000000,0.000000
32768,3207769.204236,252280.000000,0.000000
65536,1386929.648435,259592.000000,0.000000
