frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,390352.508691,186694.000000,0.000000
4,104780.687171,48294.000000,0.000000
8,186461.466424,61926.000000,0.000000
16,391329.602970,157247.000000,0.000000
32,474290.035125,357498.000000,0.000000
64,84572.460973,39159.000000,0.000000
128,463042.688617,294264.000000,0.000000
256,429315.991794,282139.000000,0.000000
512,157542.643024,56949.000000,0.000000
1024,532904.671427,274527.000000,0.000000
2048,491280.714983,241452.000000,0.000000
4096,150687.631861,43282.000000,0.000000
8192,242552.693846,94409.000000,0.000000
16384,1002745.796494,261155.000000,0.000000
32768,864540.098300,286719.000000,0.000000
65536,526509.048998,206790.000000,0.000000
