frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,1211354.028159,42051.000000,0.000000
4,1450082.863637,66180.000000,0.000000
8,1167144.665636,44378.000000,0.000000
16,616921.779600,27024.000000,0.000000
32,1869568.487156,76345.000000,0.000000
64,2586082.919060,103374.000000,0.000000
128,2362290.184992,97741.000000,0.000000
256,2537220.025992,96805.000000,0.000000
512,2769031.333307,111477.000000,0.000000
1024,1946268.970342,74167.000000,0.000000
2048,3439940.347105,129408.000000,0.000000
4096,4256967.993409,153508.000000,0.000000
8192,1306749.055735,55168.000000,0.000000
16384,2083274.354582,88465.000000,0.000000
32768,4743786.858295,159423.000000,0.000000
65536,3507778.008518,117036.000000,0.000000
