frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,433226.070844,18504.000000,0.000000
4,1022323.639173,36537.000000,0.000000
8,1504806.797746,44160.000000,0.000000
16,888433.658034,31127.000000,0.000000
32,1001013.366870,37295.000000,0.000000
64,1875374.206953,67040.000000,0.000000
128,1929968.322724,75429.000000,0.000000
256,1081655.514673,47530.000000,0.000000
512,3485615.887213,121810.000000,0.000000
1024,2118120.554976,83020.000000,0.000000
2048,4220439.156223,141011.000000,0.000000
4096,4882465.547349,152265.000000,0.000000
8192,5928086.552250,182819.000000,0.000000
16384,7085340.675361,205492.000000,0.000000
32768,2521051.041869,84918.000000,0.000000
65536,9792206.029658,236868.000000,0.000000
