frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,1431173.066530,57432.000000,0.000000
4,1522279.066499,54523.000000,0.000000
8,1236319.125536,60691.000000,0.000000
16,989987.352766,39689.000000,0.000000
32,2260413.852047,74959.000000,0.000000
64,2376705.846308,87346.000000,0.000000
128,2763041.802287,98490.000000,0.000000
256,2196984.400438,80839.000000,0.000000
512,1971276.182893,87965.000000,0.000000
1024,2187136.827830,75987.000000,0.000000
2048,2970273.832770,100709.000000,0.000000
4096,2755390.874399,100499.000000,0.000000
8192,3045708.249129,105267.000000,0.000000
16384,2830766.314213,108544.000000,0.000000
32768,3445345.411391,107651.000000,0.000000
65536,9900123.689142,237928.000000,0.000000
