frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,1954242.017371,82018.000000,0.000000
4,905979.059559,42969.000000,0.000000
8,1548902.835742,70321.000000,0.000000
16,1583667.865080,56945.000000,0.000000
32,897800.245158,39142.000000,0.000000
64,1940999.059406,87723.000000,0.000000
128,2006009.468584,84241.000000,0.000000
256,1645301.960318,62485.000000,0.000000
512,2815340.785694,117286.000000,0.000000
1024,2122864.270306,77449.000000,0.000000
2048,3489361.481713,134889.000000,0.000000
4096,4852010.015438,168499.000000,0.000000
8192,4039088.747570,149785.000000,0.000000
16384,5643904.587263,169252.000000,0.000000
32768,3109051.890433,128039.000000,0.000000
65536,982162.809041,51192.000000,0.000000
