frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,628749.802120,26457.000000,0.000000
4,1074461.529347,36321.000000,0.000000
8,635597.447297,33902.000000,0.000000
16,1470750.956944,51533.000000,0.000000
32,935082.324976,46667.000000,0.000000
64,2289695.690519,93416.000000,0.000000
128,1971576.927978,73501.000000,0.000000
256,2701247.346847,95217.000000,0.000000
512,1883508.436380,68960.000000,0.000000
1024,3382936.095197,119157.000000,0.000000
2048,2511531.465481,87950.000000,0.000000
4096,2892935.802004,108663.000000,0.000000
8192,3873617.866031,148939.000000,0.000000
16384,1398092.430460,57416.000000,0.000000
32768,3381313.004815,113105.000000,0.000000
65536,4354943.939041,127168.000000,0.000000
