frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
2,128627563.246398,2399215.000000
4,129511797.546989,2235159.000000
8,131920642.149357,2321854.000000
16,1506268.155671,642779.000000
32,262912533.506614,3538864.000000
64,269222123.058980,3347362.000000
128,138062705.415628,2308826.000000
256,281240362.089691,3387691.000000
512,2803502.924613,1068332.000000
1024,136252933.914327,2213735.000000
2048,5826299.496180,1109762.000000
4096,6007373.162265,937968.000000
8192,304575284.550071,3566960.000000
16384,135269066.337869,2303978.000000
32768,315553886.303692,3398433.000000
65536,212983237.870540,3417951.000000
