frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
2,128736514.307029,2334593.000000
4,2122196.782374,746868.000000
8,130849177.090558,2440441.000000
16,2570411.875488,1081349.000000
32,1311102.771324,402669.000000
64,262398141.255214,3342572.000000
128,143672332.585480,2283718.000000
256,136242042.136757,2215776.000000
512,147680892.750025,2234561.000000
1024,131788976.313139,2285724.000000
2048,2054383.236146,567324.000000
4096,5559972.849278,802279.000000
8192,235654588.122456,3524467.000000
16384,141762754.115023,2219483.000000
32768,11417269.430145,1141679.000000
65536,8858415.363972,953879.000000
