frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
2,266031523.448239,3459537.000000
4,2638962.112894,913718.000000
8,131750192.695168,2190060.000000
16,262327037.850841,3354123.000000
32,268167573.876864,3440709.000000
64,136987080.395447,2292748.000000
128,2391749.651860,876846.000000
256,3051724.091143,712138.000000
512,125572110.610873,2254350.000000
1024,1780755.212592,432565.000000
2048,274335896.852834,3425330.000000
4096,3194317.456126,671623.000000
8192,272638915.297146,3322767.000000
16384,13535075.222972,1144964.000000
32768,90854391.671182,2218561.000000
65536,6005366.437993,876835.000000
