frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
2,523176.293805,254375.000000
4,261902676.142661,3465672.000000
8,1844474.803647,1096838.000000
16,2662553.746887,751767.000000
32,137894068.456234,2295111.000000
64,135291327.206431,2178013.000000
128,1494853.226857,637031.000000
256,4122189.148949,1061779.000000
512,134132108.413397,2305530.000000
1024,2589611.844342,733454.000000
2048,129719318.937664,2344440.000000
4096,6917685.956286,1174897.000000
8192,355408844.712633,3535811.000000
16384,126868304.298485,2276240.000000
32768,90398068.875988,2373284.000000
65536,129796304.971616,2212344.000000
